"","Subject","Activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyAccMag-mean()","fBodyBodyAccJerkMag-mean()","fBodyBodyGyroMag-mean()","fBodyBodyGyroJerkMag-mean()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
"1",1,"LAYING",-0.41048098212,-0.5669920584,-0.5941719457098,-0.60731833154,-0.7337751676198,-0.76195055588,-0.7129889777,-0.905660564,-0.65326498598,-0.269424099232,-0.584132892134,-0.304540176,-0.5535279707,-0.4217075291,-0.488622264852,-0.459076533834,-0.86633854308,-0.63274434352,-0.55533516208,-0.9556047058,-0.446632584312,-0.5088275357,-0.469636091262,-0.372658611534,-0.2659426281,-0.79458012272,-0.961164642,-0.76834241374,-0.43520810296,-0.35403271896,-0.407684965876,-0.34738780552,-0.183408024386,-0.77131395058,-0.67128998524,-0.74934406966,-0.8693967114,-0.618004339056,-0.6627096196,-0.61642313092,-0.318909021004,0.04637162231,-0.159704260816,-0.430643571146,-0.509357988888,-0.459113334412,-0.39336054756,-0.52837936065,-0.36851352238,-0.536398922798,-0.220065754119,-0.452389897,-0.70477133872,-0.72688966012,-0.7931742144,-0.523272552964,-0.9877388966,-0.701145979418,-0.40983776014,-0.547095384,-0.17737883072,-0.16965521266,-0.02220928459,-0.16518402314,-0.274128671032,-0.18772853822
"2",1,"SITTING",-0.350704926468085,-0.533217465404255,-0.601113273042553,-0.552289911468085,-0.697613232893617,-0.877136567276596,-0.871378913404255,-0.953710278510638,-0.666261522042553,-0.41965372456383,-0.210539404885106,-0.395940524585106,-0.543297227138298,-0.261772074085106,-0.445228682255319,-0.440383545808511,-0.777587971744681,-0.691819764206383,-0.561718921131915,-0.927243831851064,-0.58323569093617,-0.293943515510638,-0.550969888114894,-0.422186840021277,-0.127409061382979,-0.533299063106383,-0.97192290212766,-0.634950524125532,-0.616040371238298,-0.484534698723404,-0.361559732595745,-0.624854093829787,-0.325399478489362,-0.783002802523404,-0.933812307021277,-0.936728470851064,-0.957055469787234,-0.631700608276596,-0.501256134638298,-0.240431817540426,-0.298799102804255,0.00405548902340426,-0.0977572399148936,-0.469528750106383,-0.56286140293617,-0.589055146531915,-0.261547622510638,-0.452884510425532,-0.318964020680851,-0.645715621914894,-0.355934032121277,-0.773554671680851,-0.68137210293617,-0.659575664744681,-0.517428128170213,-0.323224794191489,-0.959722222340426,-0.731733489978723,-0.61384485193617,-0.672848191531915,-0.15890177512766,-0.196613808978723,-0.197527133957447,-0.341289887085106,-0.327855811257447,-0.1852024386
"3",1,"STANDING",-0.38892703145283,-0.464475573773585,-0.680278623056604,-0.638860640207547,-0.532166944773585,-0.788970557264151,-0.823543989830189,-0.859119706377358,-0.766631022224528,-0.104307248373585,-0.394537901426415,-0.584925485849057,-0.769397694613208,-0.43537957554717,-0.473263288464906,-0.431752868603774,-0.823740061471698,-0.501276879641509,-0.673439789022641,-0.81136404490566,-0.553443113358491,-0.511104079933962,-0.459144887528302,-0.100545337018868,-0.330037367811321,-0.763706001320755,-0.791558522664925,-0.919259477924528,-0.722136531462264,-0.383304309283019,-0.200278996339623,-0.81597866490566,-0.30132306174717,-0.552233377988679,-0.77358470990566,-0.838351817924528,-0.897426232075472,-0.794435073207547,-0.576866013283019,-0.451410954969811,-0.529865429075472,-0.212365460301887,-0.310366705358491,-0.368785261592453,-0.682324955169811,-0.701104394032075,-0.424003516188679,-0.479818264641509,-0.249487314981132,-0.636533603320755,-0.418212641358491,-0.608125905490566,-0.869280764150943,-0.494262943830189,-0.752490372792453,-0.539518767301887,-0.711161319415094,-0.912535128679245,-0.630039870145283,-0.567804561626415,-0.339303658679245,-0.0624654471,-0.120011122330189,-0.415344166132075,-0.312271241830189,-0.108302202
"4",1,"WALKING",-0.515106409218947,-0.730241082788421,-0.729386764978947,-0.668654663468421,-0.70796697408421,-0.943185257042105,-0.951527497894737,-0.628259155747368,-0.525924927468421,-0.302804400908947,-0.248699464958947,-0.182521952769474,-0.328245060272632,-0.450490430156842,-0.648728508168421,-0.606304924038947,-0.980959237536842,-0.569385236242105,-0.606631478916842,-0.697240690597895,-0.421560015370632,-0.498352508510211,-0.623022308363158,-0.202941298175789,-0.360297502,-0.923491644562105,-0.745821515778947,-0.519189621136842,-0.618804149771579,-0.278410180884211,-0.293498437926316,-0.474201515714737,-0.228861194323158,-0.750832276826316,-0.943999132905263,-0.645858359967368,-0.582191608168421,-0.543891387863158,-0.620189647536842,-0.346683115282105,-0.138626723713684,-0.0940444132315789,-0.288280955852632,-0.546957233031579,-0.652167883525263,-0.635984667807368,-0.512463842812632,-0.669158775333684,-0.381965279228421,-0.422287307981053,-0.154429305263158,-0.855364884526316,-0.463491938242105,-0.596349634989474,-0.785085089652632,-0.792709413578947,-0.730291839042105,-0.528408929410526,-0.663109303084211,-0.505275364286316,-0.217869977284211,-0.240507496320526,-0.0836569747705263,-0.410002471769474,-0.349280515330526,-0.217484282979158
"5",1,"WALKING_DOWNSTAIRS",-0.57321767495102,-0.640450002204082,-0.711478570489796,-0.620872834428571,-0.830867771836735,-0.71581832755102,-0.647123425693878,-0.503024099269388,-0.782775473183673,-0.433715064612245,-0.16211463665102,-0.186432353516327,-0.332991692367347,-0.489233120591837,-0.634446791591837,-0.626439966877551,-0.651621461918367,-0.587471079734694,-0.694817824102041,-0.780323990653061,-0.476298178122449,-0.606017393265306,-0.590173518826531,-0.323343484346939,-0.452514244469388,-0.667719533959184,-0.634162825073469,-0.497497960328571,-0.671132007081633,-0.121007903897959,-0.418134659877551,-0.224747771938776,-0.263208888202041,-0.92791868122449,-0.676376422979592,-0.509325736265306,-0.482897911877551,-0.724443664530612,-0.316947035387755,-0.196903999612245,-0.166725785310204,-0.108789145204082,-0.308432659491837,-0.600198128602041,-0.802175396734694,-0.795818690338776,-0.609097398755102,-0.744081490204082,-0.470540183918367,-0.490718800271429,-0.213632060183673,-0.903115682,-0.555765301163265,-0.826650076037755,-0.756281349044898,-0.25783590925102,-0.680103110040816,-0.471999172214286,-0.614658933061224,-0.330054960714286,-0.259945049272449,-0.346370907408163,-0.0895125859816327,-0.553045735463265,-0.451265146065306,-0.464376719020408
"6",1,"WALKING_UPSTAIRS",-0.622272578792453,-0.689549051641509,-0.93715418,-0.901774594528302,-0.965521030943396,-0.715635074949057,-0.771506122943396,-0.381999477660377,-0.49336406554717,-0.102707698830189,-0.104928489935849,-0.147337474716981,-0.395869199566038,-0.623002468522642,-0.613461613075472,-0.6546685794,-0.876167615283019,-0.217574344603774,-0.814964772130189,-0.477961855649057,-0.623930696773585,-0.492208434641509,-0.697929083037736,-0.397202004924528,-0.730379191509434,-0.685086253698113,-0.612041896226415,-0.704490428301887,-0.379424606056604,-0.186385648779245,-0.484918149011321,-0.454576903924528,-0.157536041113208,-0.99224562490566,-0.735024811056604,-0.416176817528302,-0.420450078603774,-0.516948545264151,-0.446033877056604,-0.176793903388679,-0.170099091132075,-0.159641202826415,-0.32052615796,-0.59406110794717,-0.819201778358491,-0.84423492509434,-0.552475209188679,-0.457397771792453,-0.539081354207547,-0.234817925184906,-0.257358559564151,-0.584221787660377,-0.702845831283019,-0.91437616509434,-0.999739131509434,-0.570424263264151,-0.560437722330189,-0.721325247641509,-0.371851423358491,-0.460385048037736,-0.180847802377359,-0.548187494622641,0.0112268181509434,-0.689439580773585,-0.0553658109622642,-0.506092603188679
"7",2,"LAYING",-0.34889236125,-0.848956144041667,-0.995067058958333,-0.601542725125,-0.965501926666667,-0.751363002416667,-0.38280236144,-0.721423306041667,-0.40512362455625,-0.975767680625,-0.726430140833333,-0.376684309975,-0.5908735291875,-0.456383249902083,-0.1962674508125,-0.424849410302083,-0.404682885270833,-0.4146051446875,-0.977651364166667,-0.2088671606375,-0.321018066395833,-0.816252641895833,-0.891324227379167,-0.0982352743125,-0.422623412125,-0.567113877916667,-0.424915292054167,-0.848256723125,-0.836893024375,-0.42491179532625,-0.489749076975,-0.734049314979167,-0.254268033270833,-0.6031808288125,-0.352289198520833,-0.6752641022625,-0.255525685104167,-0.2651870010625,-0.454663535145833,-0.1481344800375,-0.332429789791667,-0.596182719791667,-0.518194146854167,-0.914203531875,-0.790483692625,-0.25763260975,-0.533933285333333,-0.355987391541667,-0.406011561604167,-0.557194286572917,-0.802911980375,-0.608629614804167,-0.214570858270833,-0.512197590958333,-0.491579950854167,-0.7781241511875,-0.223189895166667,-0.202756668554167,-0.575035915395833,-0.51040741855625,-0.373202991854167,-0.714643863166667,-0.8067062925625,-0.381530191816667,-0.441632822902083,-0.793530808645833
"8",2,"SITTING",-0.134884450652174,-0.614266308402174,-0.999857017173913,-0.418095935752826,-0.774475773278261,-0.823978714195652,-0.432491418673913,-0.896056240652174,-0.663560996065217,-0.772924606456522,-0.868186996434783,-0.5321445405,-0.81508121,-0.627479310580435,-0.111551219108696,-0.636856844326087,-0.331086194380435,-0.401712660695652,-0.97834999,-0.527058528369565,-0.367691776695652,-0.643956604630435,-0.729178702,-0.0181897414565217,-0.199602650356522,-0.309217629565217,-0.440488775434783,-0.688848644043478,-0.694029337826087,-0.491814597093478,-0.497303148695652,-0.729111345458696,-0.347827758043478,-0.639616071347826,-0.296007125173913,-0.644109347608696,-0.655625356173913,-0.254072988195652,-0.475934022782609,-0.137991306352174,-0.443243790586957,-0.933128060434783,-0.505339740195652,-0.822548042695652,-0.798074195130435,-0.392943542926087,-0.825398989782609,-0.564002216571739,-0.475423249382609,-0.634791458973913,-0.345052519902174,-0.535142939782609,-0.236674835956522,-0.637795259391304,-0.600260584456522,-0.75055279076087,-0.173775592108696,-0.268718342565217,-0.449805070282609,-0.695695411934783,-0.488110557608696,-0.549951025847826,-0.678026714282609,-0.485340984171739,-0.58428778778913,-0.417738712856522
"9",2,"STANDING",-0.430111172314815,-0.579437111148148,-0.731543584091111,-0.502835846527778,-0.670680815962963,-0.775412721296296,-0.452308823346296,-0.468714137414815,-0.290328071425926,-0.645234266740741,-0.767578997666667,-0.623301080277778,-0.352690322642593,-0.197982022109259,-0.165822441498148,-0.407869833351852,-0.568822431296296,-0.142905529688889,-0.670719638242593,-0.413530004796296,-0.438401340574074,-0.586804198851852,-0.993326723333333,-0.180782894390741,-0.125273988385185,-0.664700827314815,-0.476100983592593,-0.614752852277778,-0.981642756851852,-0.408887792401852,-0.1853130323,-0.776886248055556,-0.538554230722222,-0.446791754148148,-0.3356213235,-0.637522278944444,-0.587843955407407,-0.200815491259259,-0.407755448222222,-0.173113345240741,-0.493096326666667,-0.618298877,-0.573735648369444,-0.799452460183333,-0.796072224814815,-0.403056686277778,-0.468588805562963,-0.285730983481481,-0.644844703407407,-0.472632095155556,-0.365631747925926,-0.662123017944444,-0.050146669012963,-0.674956809759259,-0.393450562285185,-0.657696696648148,-0.520945491277778,-0.153374609940741,-0.316246626768148,-0.59485879487037,-0.375918082333333,-0.561090195685185,-0.588494084027778,-0.192865317692593,-0.520763145503704,-0.547895344074074
"10",2,"WALKING",-0.493630015423729,-0.695755951271186,-0.771525248135593,-0.648379197694915,-0.683628764425424,-0.467601144184237,-0.428831020713898,-0.445311455254237,-0.195770719164407,-0.738944794186441,-0.519983650520339,-0.303418347966102,-0.33436413969661,-0.180988645762712,-0.169188135169492,-0.250782886542373,-0.379306356962712,-0.260559643016949,-0.757062949779661,-0.175575987101695,-0.496563612355932,-0.927890353372881,-0.732764752898305,-0.151126411122034,-0.389047696884746,-0.390080879459322,-0.683234483288136,-0.919431927661017,-0.670897878745763,-0.711007955677966,-0.412657218655932,-0.411550141525424,-0.385648583322034,-0.468908116281525,-0.357234204101695,-0.824031386355932,-0.370209070918644,-0.476350474254237,-0.648342854610169,-0.194813355418644,-0.5959721246,-0.660327396220339,-0.731880650271186,-0.814621885338983,-0.443114615837288,-0.408158677864407,-0.417926325305085,-0.131393604372881,-0.374378250988136,-0.587027403318305,-0.631366716742373,-0.618856717355932,-0.221198383518644,-0.361380514684746,-0.479093169118644,-0.820679015135593,-0.124446800988136,-0.197559255911864,-0.475207518118644,-0.351151735462712,-0.528909742372881,-0.798922777389831,-0.909788838305085,-0.195548142135593,-0.145860432645763,-0.637853212974576
